epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.17,1.16639,0.97169,1.19639,0.81277,0.71685,0.78678,0.51802,1.12796,0.79174,1.14134,0.00333036,0.00333036,0.00333036
2,1330.03,1.14883,0.83194,1.15263,0.8029,0.7183,0.77696,0.51403,1.1773,0.8428,1.18148,0.00653175,0.00653175,0.00653175
3,1987.08,1.22287,0.93817,1.20722,0.77762,0.63641,0.70837,0.44986,1.32707,1.00506,1.28594,0.00960114,0.00960114,0.00960114
4,2642.06,1.25786,0.99349,1.23626,0.80245,0.70136,0.76427,0.51057,1.18716,0.85175,1.20545,0.009406,0.009406,0.009406
5,3297.19,1.21496,0.91524,1.21017,0.82245,0.73716,0.79477,0.53728,1.14001,0.7824,1.18221,0.009208,0.009208,0.009208
6,3952.8,1.17901,0.8687,1.18717,0.82618,0.74029,0.8054,0.54852,1.12097,0.74528,1.15691,0.00901,0.00901,0.00901
7,4607.89,1.15172,0.83328,1.17035,0.82548,0.75833,0.81815,0.55782,1.10525,0.71032,1.15062,0.008812,0.008812,0.008812
8,5263.05,1.13208,0.79977,1.15798,0.83848,0.76061,0.82529,0.56652,1.08746,0.69679,1.13319,0.008614,0.008614,0.008614
9,5918.27,1.12231,0.78097,1.14983,0.84204,0.77846,0.836,0.57944,1.07453,0.66622,1.12048,0.008416,0.008416,0.008416
10,6574.02,1.10822,0.76543,1.14306,0.83104,0.78245,0.83585,0.58227,1.06074,0.64694,1.11146,0.008218,0.008218,0.008218
11,7229.54,1.09841,0.74965,1.13589,0.8335,0.78767,0.84268,0.58636,1.05274,0.64151,1.10466,0.00802,0.00802,0.00802
12,7884.77,1.08864,0.74467,1.12599,0.82959,0.79299,0.84446,0.58965,1.04831,0.63388,1.10082,0.007822,0.007822,0.007822
13,8539.5,1.08,0.72848,1.12284,0.83955,0.7947,0.85028,0.59576,1.03324,0.61885,1.09356,0.007624,0.007624,0.007624
14,9195.47,1.06955,0.72183,1.11565,0.83117,0.80258,0.84617,0.59528,1.02966,0.61243,1.08752,0.007426,0.007426,0.007426
15,9849.98,1.06626,0.70553,1.11133,0.83998,0.80021,0.85677,0.60194,1.0285,0.60536,1.08534,0.007228,0.007228,0.007228
16,10505.1,1.05923,0.69429,1.10953,0.8377,0.79499,0.85914,0.60157,1.0247,0.59667,1.08585,0.00703,0.00703,0.00703
17,11158.7,1.05305,0.69233,1.10579,0.84474,0.80011,0.86124,0.6075,1.01856,0.5818,1.07932,0.006832,0.006832,0.006832
18,11813.6,1.04161,0.68485,1.10072,0.84055,0.80793,0.86181,0.60865,1.01627,0.58264,1.0782,0.006634,0.006634,0.006634
19,12468.2,1.03994,0.67323,1.10392,0.84277,0.80201,0.86347,0.61216,1.0088,0.57337,1.07414,0.006436,0.006436,0.006436
20,13122.9,1.0311,0.67157,1.09574,0.84146,0.80989,0.86507,0.61353,1.0108,0.56834,1.07802,0.006238,0.006238,0.006238
21,13777.9,1.02347,0.66001,1.08887,0.83529,0.81749,0.86785,0.61626,0.99739,0.56654,1.06868,0.00604,0.00604,0.00604
22,14433.2,1.02466,0.65591,1.09007,0.84402,0.80828,0.86752,0.61623,0.99672,0.56126,1.06414,0.005842,0.005842,0.005842
23,15087.4,1.01896,0.65301,1.08391,0.83802,0.8155,0.86587,0.61634,0.99729,0.56169,1.0635,0.005644,0.005644,0.005644
24,15741.3,1.01025,0.64244,1.07771,0.84267,0.8041,0.87069,0.61834,0.9961,0.55581,1.0644,0.005446,0.005446,0.005446
25,16396.3,1.01066,0.63529,1.08352,0.84383,0.81255,0.87134,0.62011,0.99296,0.55347,1.06607,0.005248,0.005248,0.005248
26,17051.3,1.00122,0.63375,1.08093,0.84425,0.81673,0.87281,0.62109,0.99134,0.54875,1.06207,0.00505,0.00505,0.00505
27,17707.1,0.9981,0.62792,1.07529,0.84319,0.818,0.87351,0.62351,0.98819,0.54184,1.0598,0.004852,0.004852,0.004852
28,18362.6,0.99063,0.61566,1.07367,0.82981,0.83316,0.87728,0.62572,0.98526,0.53973,1.05791,0.004654,0.004654,0.004654
29,19017.6,0.99758,0.61875,1.07155,0.85158,0.81015,0.8776,0.62666,0.98244,0.53907,1.05693,0.004456,0.004456,0.004456
30,19673.7,0.98676,0.61141,1.07139,0.84416,0.81629,0.87561,0.6248,0.98228,0.5393,1.05601,0.004258,0.004258,0.004258
31,20328.3,0.97886,0.59733,1.06638,0.85135,0.81721,0.8778,0.62668,0.98136,0.53227,1.05582,0.00406,0.00406,0.00406
32,20983.6,0.98361,0.60293,1.06441,0.85259,0.81395,0.87885,0.62864,0.97871,0.52858,1.05259,0.003862,0.003862,0.003862
33,21638.9,0.97119,0.58357,1.05969,0.84502,0.82015,0.87887,0.62941,0.98111,0.52663,1.05506,0.003664,0.003664,0.003664
34,22294.2,0.96502,0.5904,1.05928,0.85384,0.81543,0.8772,0.62925,0.97776,0.52946,1.05433,0.003466,0.003466,0.003466
35,22948.8,0.96521,0.5837,1.05403,0.84153,0.83053,0.8789,0.62963,0.97655,0.52761,1.04937,0.003268,0.003268,0.003268
36,23604.8,0.95741,0.57421,1.05187,0.84398,0.82727,0.88075,0.63176,0.97645,0.52466,1.05115,0.00307,0.00307,0.00307
37,24260.8,0.95353,0.566,1.05365,0.84917,0.82148,0.87866,0.63033,0.97477,0.52473,1.05057,0.002872,0.002872,0.002872
38,24916.1,0.94694,0.55991,1.05088,0.8505,0.823,0.87909,0.62997,0.97601,0.52137,1.05268,0.002674,0.002674,0.002674
39,25570.9,0.94919,0.55978,1.04427,0.851,0.8249,0.87988,0.63091,0.97732,0.51943,1.05121,0.002476,0.002476,0.002476
40,26225.5,0.93785,0.55364,1.04122,0.85021,0.82303,0.87893,0.63031,0.97708,0.52172,1.04861,0.002278,0.002278,0.002278
41,26881.1,0.92911,0.50581,1.02886,0.84516,0.82756,0.87926,0.63012,0.97546,0.52172,1.04726,0.00208,0.00208,0.00208
42,27535.7,0.92312,0.49442,1.02385,0.84877,0.82167,0.87836,0.62979,0.97482,0.52169,1.04764,0.001882,0.001882,0.001882
43,28190.5,0.91767,0.48482,1.0224,0.85372,0.81654,0.87693,0.62852,0.97531,0.52371,1.04907,0.001684,0.001684,0.001684
44,28845.8,0.91334,0.47725,1.02325,0.85348,0.81768,0.87565,0.62716,0.97522,0.52738,1.05114,0.001486,0.001486,0.001486
45,29500.8,0.90833,0.4727,1.0192,0.85739,0.81642,0.87413,0.62646,0.97539,0.53028,1.05223,0.001288,0.001288,0.001288
46,30155.8,0.90111,0.46403,1.01477,0.85585,0.81695,0.87342,0.62619,0.97596,0.53068,1.05281,0.00109,0.00109,0.00109
47,30809.7,0.89181,0.45357,1.00898,0.8571,0.81635,0.87236,0.62562,0.97646,0.53298,1.0528,0.000892,0.000892,0.000892
48,31463.8,0.89053,0.44626,1.0088,0.85635,0.8155,0.87109,0.62476,0.97699,0.53561,1.05324,0.000694,0.000694,0.000694
49,32118,0.88284,0.43983,1.00513,0.85468,0.8165,0.87051,0.62447,0.977,0.53639,1.05314,0.000496,0.000496,0.000496
50,32771.7,0.88099,0.43481,0.99921,0.85424,0.81521,0.86965,0.62387,0.97757,0.53795,1.05313,0.000298,0.000298,0.000298
