epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.042,1.32007,1.81883,1.28204,0.7996,0.69034,0.7369,0.46594,1.1915,1.12894,1.12667,0.00332147,0.00332147,0.00332147
2,561.901,1.201,1.08099,1.13086,0.73289,0.6167,0.6186,0.37579,1.26357,1.27357,1.18821,0.00652304,0.00652304,0.00652304
3,846.743,1.25919,1.04181,1.17251,0.74395,0.54627,0.59005,0.36136,1.42248,1.51983,1.34564,0.00959261,0.00959261,0.00959261
4,1129.06,1.27547,1.01477,1.19451,0.79382,0.63261,0.68907,0.4281,1.35268,1.07062,1.24116,0.009406,0.009406,0.009406
5,1413.53,1.24173,0.94549,1.17399,0.8161,0.63517,0.70295,0.45422,1.27959,0.95968,1.18709,0.009208,0.009208,0.009208
6,1874.39,1.21192,0.90508,1.15889,0.80186,0.67847,0.73396,0.48061,1.23711,0.9106,1.18568,0.00901,0.00901,0.00901
7,2620.6,1.19564,0.87346,1.14571,0.80935,0.71589,0.75289,0.48394,1.16023,0.84048,1.14689,0.008812,0.008812,0.008812
8,3354.56,1.17365,0.84752,1.14087,0.82978,0.71475,0.78124,0.52709,1.15671,0.78531,1.13485,0.008614,0.008614,0.008614
9,4099.02,1.16263,0.82699,1.13078,0.82883,0.71038,0.78058,0.52237,1.16064,0.80143,1.13087,0.008416,0.008416,0.008416
10,4838.21,1.15143,0.81095,1.12387,0.81821,0.7492,0.80137,0.54746,1.1071,0.712,1.09789,0.008218,0.008218,0.008218
11,5575.47,1.13904,0.79403,1.12094,0.82307,0.75891,0.81512,0.55561,1.10177,0.69707,1.0939,0.00802,0.00802,0.00802
12,6317.36,1.12975,0.78004,1.11369,0.82235,0.75055,0.81121,0.55413,1.11011,0.70005,1.09942,0.007822,0.007822,0.007822
13,7069.57,1.12231,0.77691,1.10745,0.825,0.73415,0.79375,0.54312,1.10623,0.72456,1.09748,0.007624,0.007624,0.007624
14,7829.8,1.1209,0.76639,1.10455,0.83074,0.75084,0.81044,0.558,1.08256,0.67708,1.08021,0.007426,0.007426,0.007426
15,8582.62,1.1143,0.75742,1.09937,0.82517,0.76612,0.82046,0.56477,1.08197,0.65679,1.07356,0.007228,0.007228,0.007228
16,9331.3,1.11126,0.75588,1.10062,0.84145,0.75264,0.82105,0.56439,1.06285,0.66861,1.07753,0.00703,0.00703,0.00703
17,10079.7,1.10078,0.74529,1.09356,0.84118,0.75767,0.82141,0.57049,1.06579,0.65244,1.06764,0.006832,0.006832,0.006832
18,10840.8,1.09599,0.73755,1.09388,0.84252,0.7741,0.83416,0.57821,1.05956,0.62941,1.06713,0.006634,0.006634,0.006634
19,11590.8,1.09021,0.73134,1.08776,0.83587,0.77656,0.83496,0.58003,1.06177,0.62855,1.06571,0.006436,0.006436,0.006436
20,12347,1.0883,0.72353,1.08742,0.83905,0.77998,0.83616,0.5834,1.052,0.62017,1.0618,0.006238,0.006238,0.006238
21,13162.4,1.08781,0.72096,1.08713,0.84052,0.7778,0.83599,0.58312,1.04755,0.62248,1.05193,0.00604,0.00604,0.00604
22,13939.1,1.08327,0.71136,1.08001,0.84132,0.77628,0.84301,0.5865,1.05109,0.61982,1.0513,0.005842,0.005842,0.005842
23,14702.8,1.0754,0.71186,1.0822,0.84084,0.78362,0.84134,0.58863,1.045,0.60594,1.05431,0.005644,0.005644,0.005644
24,15463.2,1.06863,0.69692,1.07992,0.84556,0.78346,0.84843,0.59358,1.03938,0.59976,1.04864,0.005446,0.005446,0.005446
25,16228.3,1.06485,0.69145,1.07414,0.85302,0.78283,0.84518,0.59443,1.03132,0.59262,1.04576,0.005248,0.005248,0.005248
26,17004,1.06367,0.68811,1.07268,0.84711,0.78416,0.84745,0.59483,1.03081,0.58957,1.04284,0.00505,0.00505,0.00505
27,17761.3,1.06002,0.68529,1.07289,0.85656,0.77334,0.84927,0.59481,1.02767,0.58675,1.0425,0.004852,0.004852,0.004852
28,18516.9,1.05815,0.68264,1.06942,0.83805,0.79812,0.85275,0.59951,1.02512,0.5788,1.03952,0.004654,0.004654,0.004654
29,19284.7,1.05658,0.67703,1.06725,0.84398,0.79138,0.85279,0.60112,1.02285,0.58024,1.03958,0.004456,0.004456,0.004456
30,20048.6,1.04836,0.66673,1.06614,0.85972,0.78293,0.85581,0.60263,1.02243,0.57241,1.03642,0.004258,0.004258,0.004258
31,20802.5,1.0468,0.66845,1.06223,0.84551,0.79489,0.8522,0.60121,1.01875,0.57274,1.03503,0.00406,0.00406,0.00406
32,21553.7,1.04603,0.66098,1.0625,0.85711,0.78454,0.85303,0.60182,1.01624,0.57204,1.03287,0.003862,0.003862,0.003862
33,22316.6,1.03183,0.65216,1.05854,0.85555,0.79078,0.8541,0.60321,1.01629,0.5674,1.03402,0.003664,0.003664,0.003664
34,23071.9,1.03481,0.65327,1.05962,0.85995,0.78536,0.8554,0.60454,1.01333,0.56481,1.03331,0.003466,0.003466,0.003466
35,23826.3,1.03693,0.64997,1.05925,0.85081,0.79204,0.85699,0.60437,1.01238,0.56416,1.03204,0.003268,0.003268,0.003268
36,24588.6,1.02885,0.64571,1.05476,0.85607,0.79299,0.86022,0.60738,1.01325,0.55884,1.03319,0.00307,0.00307,0.00307
37,25353.2,1.02753,0.64488,1.05412,0.85726,0.79651,0.86031,0.60828,1.01059,0.55562,1.03178,0.002872,0.002872,0.002872
38,26115.4,1.01964,0.62737,1.04584,0.85051,0.80176,0.85999,0.6081,1.00951,0.55516,1.02989,0.002674,0.002674,0.002674
39,26874,1.01596,0.62973,1.04792,0.85577,0.79667,0.86007,0.60859,1.01038,0.55455,1.03137,0.002476,0.002476,0.002476
40,27632.5,1.01429,0.62547,1.04614,0.85144,0.80059,0.85848,0.6073,1.01008,0.55536,1.02907,0.002278,0.002278,0.002278
41,28402.9,1.00894,0.57758,1.03317,0.86126,0.78986,0.85996,0.60809,1.0099,0.5548,1.02918,0.00208,0.00208,0.00208
42,29194.5,1.00273,0.56699,1.03188,0.85528,0.79613,0.85887,0.60744,1.0096,0.55607,1.03083,0.001882,0.001882,0.001882
43,29977,0.9983,0.55506,1.02723,0.85728,0.79689,0.85915,0.60701,1.00955,0.55646,1.03083,0.001684,0.001684,0.001684
44,30762.9,0.99226,0.55253,1.02785,0.86065,0.79292,0.85831,0.60724,1.0092,0.55745,1.03252,0.001486,0.001486,0.001486
45,31547.6,0.98792,0.54463,1.02275,0.85786,0.79543,0.85738,0.60779,1.0081,0.55753,1.03143,0.001288,0.001288,0.001288
46,32337.5,0.97862,0.53506,1.01902,0.85638,0.79518,0.85595,0.60663,1.00791,0.55969,1.0306,0.00109,0.00109,0.00109
47,33138.6,0.97611,0.52914,1.01795,0.85924,0.79252,0.85473,0.60561,1.00723,0.56102,1.03006,0.000892,0.000892,0.000892
48,33939.7,0.97443,0.52264,1.0129,0.86046,0.79242,0.85376,0.6052,1.00723,0.56281,1.02979,0.000694,0.000694,0.000694
49,34740.4,0.96943,0.51539,1.01231,0.85884,0.79207,0.85318,0.60488,1.00742,0.56331,1.02979,0.000496,0.000496,0.000496
50,35534.3,0.96359,0.50659,1.01015,0.86055,0.79106,0.85307,0.60451,1.0074,0.56436,1.02969,0.000298,0.000298,0.000298
