epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.198,1.24038,1.23823,1.23246,0.80005,0.71925,0.78153,0.51381,1.14337,0.85175,1.11052,0.00332739,0.00332739,0.00332739
2,700.363,1.14226,0.82761,1.1174,0.80301,0.71589,0.77887,0.52087,1.16308,0.81936,1.1185,0.00652884,0.00652884,0.00652884
3,1052.53,1.20632,0.90264,1.15119,0.78685,0.62615,0.66817,0.41722,1.31801,1.19018,1.25212,0.00959829,0.00959829,0.00959829
4,1400.84,1.24177,0.95058,1.18064,0.81465,0.69406,0.74815,0.48303,1.20234,0.89709,1.16861,0.009406,0.009406,0.009406
5,1749.23,1.20781,0.89437,1.16282,0.81421,0.72804,0.78952,0.53147,1.15135,0.77838,1.13623,0.009208,0.009208,0.009208
6,2097.16,1.17749,0.84989,1.14741,0.82196,0.73999,0.80115,0.53843,1.15884,0.75259,1.13829,0.00901,0.00901,0.00901
7,2446.39,1.16144,0.81982,1.13497,0.83498,0.74665,0.81476,0.55453,1.11099,0.70865,1.11529,0.008812,0.008812,0.008812
8,2793.51,1.14416,0.79854,1.12637,0.8264,0.75159,0.81612,0.55827,1.1043,0.71204,1.10701,0.008614,0.008614,0.008614
9,3140.41,1.12596,0.7773,1.11668,0.84505,0.75508,0.82404,0.56778,1.08796,0.67834,1.0951,0.008416,0.008416,0.008416
10,3485.48,1.11962,0.77255,1.11291,0.82841,0.77568,0.82315,0.57392,1.07299,0.66077,1.07992,0.008218,0.008218,0.008218
11,3829.42,1.10512,0.74626,1.10568,0.84039,0.76644,0.83454,0.57617,1.07809,0.6602,1.08261,0.00802,0.00802,0.00802
12,4175.49,1.09904,0.74166,1.09743,0.82613,0.78192,0.83161,0.5804,1.06059,0.6462,1.07129,0.007822,0.007822,0.007822
13,4519.45,1.08345,0.7315,1.09473,0.83811,0.77628,0.84044,0.58708,1.05062,0.63643,1.07348,0.007624,0.007624,0.007624
